DATE,temp_f,temp_c,YEAR
1893-01-01,,,1893
1894-01-01,,,1894
1895-01-01,,,1895
1896-01-01,,,1896
1897-01-01,,,1897
1898-01-01,,,1898
1899-01-01,,,1899
1900-01-01,,,1900
1901-01-01,52.917355371900825,11.620752984389346,1901
1902-01-01,52.95867768595041,11.643709825528008,1902
1903-01-01,52.142857142857146,11.19047619047619,1903
1904-01-01,53.42465753424658,11.902587519025875,1904
1905-01-01,51.27423822714682,10.707910126192674,1905
1906-01-01,51.62534435261708,10.902969084787268,1906
1907-01-01,52.92032967032967,11.622405372405373,1907
1908-01-01,51.458333333333336,10.810185185185185,1908
1909-01-01,48.93972602739726,9.41095890410959,1909
1910-01-01,48.986666666666665,9.437037037037038,1910
1911-01-01,53.77777777777778,12.098765432098764,1911
1912-01-01,54.197278911564624,12.331821617535903,1912
1913-01-01,48.4027397260274,9.112633181126332,1913
1914-01-01,54.632876712328766,12.573820395738204,1914
1915-01-01,52.24175824175824,11.245421245421246,1915
1916-01-01,54.320547945205476,12.400304414003045,1916
1917-01-01,54.4,12.444444444444446,1917
1918-01-01,55.827397260273976,13.23744292237443,1918
1919-01-01,55.839285714285715,13.244047619047619,1919
1920-01-01,52.57865168539326,11.432584269662922,1920
1921-01-01,55.6831955922865,13.157330884603612,1921
1922-01-01,54.32044198895028,12.40024554941682,1922
1923-01-01,50.92328767123288,10.512937595129376,1923
1924-01-01,54.76502732240437,12.647237401335762,1924
1925-01-01,56.57807308970099,13.654485049833887,1925
1926-01-01,55.041666666666664,12.800925925925926,1926
1927-01-01,56.79120879120879,13.772893772893772,1927
1928-01-01,54.626740947075206,12.570411637264003,1928
1929-01-01,54.3801652892562,12.433425160697887,1929
1930-01-01,56.460055096418735,13.588919498010405,1930
1931-01-01,57.964187327823694,14.424548515457607,1931
1932-01-01,56.1945205479452,13.441400304414003,1932
1933-01-01,59.78904109589041,15.438356164383562,1933
1934-01-01,60.34615384615385,15.747863247863249,1934
1935-01-01,55.17777777777778,12.876543209876543,1935
1936-01-01,51.695402298850574,10.941890166028097,1936
1937-01-01,69.4,20.77777777777778,1937
1938-01-01,,,1938
1939-01-01,,,1939
1940-01-01,,,1940
1941-01-01,43.4532967032967,6.362942612942613,1941
1942-01-01,44.36388888888889,6.868827160493828,1942
1943-01-01,44.18904109589041,6.771689497716895,1943
1944-01-01,42.49589041095891,5.831050228310502,1944
1945-01-01,43.53168044077135,6.406489133761862,1945
1946-01-01,46.357541899441344,7.976412166356301,1946
1947-01-01,49.7667638483965,9.870424360220278,1947
1948-01-01,53.72701949860724,12.070566388115134,1948
1949-01-01,56.62154696132597,13.678637200736649,1949
1950-01-01,45.64319248826291,7.579551382368283,1950
1951-01-01,53.184065934065934,11.768925518925519,1951
1952-01-01,55.83606557377049,13.24225865209472,1952
1953-01-01,55.865671641791046,13.258706467661693,1953
1954-01-01,59.08563535911602,15.047575199508902,1954
1955-01-01,55.8021978021978,13.223443223443223,1955
1956-01-01,57.568306010928964,14.20461445051609,1956
1957-01-01,54.298630136986304,12.38812785388128,1957
1958-01-01,56.016438356164386,13.342465753424657,1958
1959-01-01,53.21369863013699,11.785388127853881,1959
1960-01-01,55.59016393442623,13.105646630236794,1960
1961-01-01,53.62739726027397,12.015220700152208,1961
1962-01-01,55.73150684931507,13.184170471841705,1962
1963-01-01,56.24931506849315,13.471841704718418,1963
1964-01-01,55.297814207650276,12.943230115361263,1964
1965-01-01,54.98351648351648,12.768620268620268,1965
1966-01-01,56.71232876712329,13.729071537290716,1966
1967-01-01,54.13498622589532,12.297214569941842,1967
1968-01-01,55.61917808219178,13.121765601217655,1968
1969-01-01,55.84065934065934,13.244810744810746,1969
1970-01-01,55.68956043956044,13.160866910866911,1970
1971-01-01,56.016438356164386,13.342465753424657,1971
1972-01-01,56.076502732240435,13.375834851244688,1972
1973-01-01,56.583561643835615,13.657534246575343,1973
1974-01-01,58.64931506849315,14.80517503805175,1974
1975-01-01,57.07123287671233,13.928462709284627,1975
1976-01-01,57.112021857923494,13.951123254401944,1976
1977-01-01,59.20821917808219,15.115677321156774,1977
1978-01-01,58.08108108108108,14.48948948948949,1978
1979-01-01,48.51481481481481,9.174897119341564,1979
1980-01-01,57.42896174863388,14.127200971463267,1980
1981-01-01,57.112637362637365,13.9514652014652,1981
1982-01-01,56.429429429429426,13.571905238571905,1982
1983-01-01,53.31974921630094,11.84430512016719,1983
1984-01-01,50.60109289617486,10.333940497874924,1984
1985-01-01,52.35457063711911,11.308094798399507,1985
1986-01-01,55.61643835616438,13.120243531202435,1986
1987-01-01,54.205479452054796,12.336377473363774,1987
1988-01-01,54.650273224043715,12.583485124468732,1988
1989-01-01,55.40094339622642,13.000524109014677,1989
1990-01-01,59.46350364963504,15.25750202757502,1990
1991-01-01,54.49862258953168,12.499234771962046,1991
1992-01-01,54.556164383561644,12.531202435312023,1992
1993-01-01,50.82934131736527,10.460745176314038,1993
1994-01-01,38.71578947368421,3.730994152046784,1994
1995-01-01,54.79281767955801,12.662676488643339,1995
1996-01-01,55.23351648351648,12.907509157509157,1996
1997-01-01,54.27472527472528,12.374847374847375,1997
1998-01-01,55.93150684931507,13.295281582952814,1998
1999-01-01,56.07945205479452,13.377473363774733,1999
2000-01-01,56.71978021978022,13.733211233211232,2000
2001-01-01,56.45753424657534,13.58751902587519,2001
2002-01-01,56.63835616438356,13.687975646879757,2002
2003-01-01,57.23013698630137,14.016742770167427,2003
2004-01-01,55.4207650273224,13.011536126290226,2004
2005-01-01,56.87123287671233,13.817351598173515,2005
2006-01-01,57.772602739726025,14.318112633181126,2006
2007-01-01,56.61643835616438,13.675799086757992,2007
2008-01-01,56.175342465753424,13.430745814307459,2008
2009-01-01,54.212574850299404,12.340319361277446,2009
2010-01-01,55.85479452054795,13.252663622526637,2010
2011-01-01,55.97527472527472,13.31959706959707,2011
2012-01-01,59.85753424657534,15.476407914764078,2012
2013-01-01,55.45479452054794,13.030441400304415,2013
2014-01-01,55.367123287671234,12.981735159817351,2014
2015-01-01,56.710743801652896,13.728191000918272,2015
2016-01-01,57.83606557377049,14.353369763205828,2016
2017-01-01,60.129129129129126,15.627293960627293,2017
2018-01-01,57.00547945205479,13.89193302891933,2018
2019-01-01,54.42699724517907,12.459442913988367,2019
2020-01-01,57.69146005509642,14.273033363942455,2020
2021-01-01,57.53846153846154,14.188034188034187,2021
2022-01-01,56.13972602739726,13.41095890410959,2022
2023-01-01,58.99633699633699,14.997964997964997,2023
